code,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
3092.T,4,0.0,0.0,0.0,-1.0008,0,2
3099.T,4,0.75,999.0,4.49400479616307,0.8742000000000001,0,2
314A.T,4,0.0,0.0,0.0,-1.0008,0,2
3231.T,0,0.0,0.0,0.0,0.0,0,2
3289.T,4,0.0,0.0,0.0,-1.0008,0,2
3349.T,0,0.0,0.0,0.0,0.0,0,2
3350.T,5,0.0,0.0,0.0,-1.0008,0,2
3382.T,8,0.0,0.0,0.0,-1.0008,0,2
3402.T,0,0.0,0.0,0.0,0.0,0,2
3405.T,2,0.5,999.0,1.1982414068745006,0.09920000000000007,0,2
3407.T,1,0.0,0.0,0.0,-1.0008,0,2
3436.T,8,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
3563.T,8,0.25,0.6,0.49933386624034115,-0.3757999999999999,0,2
3635.T,2,0.5,1.2,1.1982414068745006,0.09920000000000007,0,2
3647.T,0,0.0,0.0,0.0,0.0,0,2
3687.T,2,0.5,999.0,1.4980015987210233,0.2492000000000001,0,2
3692.T,6,0.3333333333333333,0.3,0.29968012794882043,-0.9341333333333335,0,2
3697.T,6,0.16666666666666666,0.24,0.2396482813749001,-0.6341333333333333,0,2
3861.T,0,0.0,0.0,0.0,0.0,0,2
3905.T,3,0.6666666666666666,1.5,1.4986005597760896,0.33253333333333335,0,2
4004.T,9,0.3333333333333333,1.125,0.7490007993605117,-0.16746666666666665,0,2
4005.T,1,0.0,0.0,0.0,-2.0008,0,2
402A.T,5,0.4,1.5,0.9986677324806824,-0.0007999999999998009,0,2
4042.T,3,0.3333333333333333,999.0,0.5991207034372502,-0.2674666666666667,0,2
4043.T,0,0.0,0.0,0.0,0.0,0,2
4062.T,6,0.0,0.0,0.0,-1.0008,0,2
4063.T,5,0.2,0.25,0.18732506997201123,-1.3008,0,2
4088.T,3,1.0,999.0,999.0,1.1992,0,2
4182.T,3,0.0,0.0,0.0,-1.0008,0,2
4188.T,1,0.0,0.0,0.0,-1.0008,0,2
4204.T,2,0.5,999.0,0.7493002798880448,-0.2507999999999999,0,2
423A.T,1,1.0,999.0,999.0,1.1992,0,2
4307.T,5,0.0,0.0,0.0,-2.0008,0,2
4385.T,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
4446.T,4,0.25,0.75,0.49933386624034115,-0.3757999999999999,0,2
4452.T,2,0.0,0.0,0.0,-2.0008,0,2
4502.T,10,0.3,0.32142857142857145,0.32112869138059064,-0.9507999999999999,0,2
4503.T,4,0.75,999.0,2.2479008396641347,0.6242000000000001,0,2
4506.T,6,0.16666666666666666,0.3,0.29960031974420465,-0.5841333333333333,0,2
4507.T,2,0.5,999.0,1.4980015987210233,0.2492000000000001,0,2
4519.T,7,0.2857142857142857,0.6,0.5992006394884093,-0.2865142857142857,0,2
4523.T,6,0.6666666666666666,3.0,2.9960031974420467,0.6658666666666667,0,2
4528.T,0,0.0,0.0,0.0,0.0,0,2
4543.T,2,0.5,0.75,0.7493002798880448,-0.2507999999999999,0,2
4568.T,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
4571.T,5,0.0,0.0,0.0,-1.0008,0,2
4578.T,2,1.0,999.0,999.0,1.1992,0,2
4588.T,0,0.0,0.0,0.0,0.0,0,2
4592.T,8,0.25,0.6,0.49933386624034115,-0.3757999999999999,0,2
4612.T,0,0.0,0.0,0.0,0.0,0,2
4661.T,5,0.0,0.0,0.0,-2.0008,0,2
4680.T,1,0.0,0.0,0.0,-2.0008,0,2
4689.T,2,0.0,0.0,0.0,-1.0008,0,2
4704.T,4,0.0,0.0,0.0,-1.0008,0,2
4732.T,0,0.0,0.0,0.0,0.0,0,2
4751.T,2,0.0,0.0,0.0,-1.0008,0,2
4755.T,7,0.2857142857142857,0.375,0.2997201119552179,-1.0008,0,2
4814.T,0,0.0,0.0,0.0,0.0,0,2
4889.T,0,0.0,0.0,0.0,0.0,0,2
4901.T,4,0.0,0.0,0.0,-2.0008,0,2
4911.T,4,0.0,0.0,0.0,-1.0008,0,2
5016.T,8,0.375,0.9,0.898800959232614,-0.06329999999999991,0,2
5019.T,0,0.0,0.0,0.0,0.0,0,2
5020.T,2,0.5,999.0,1.1982414068745006,0.09920000000000007,0,2
5076.T,4,0.0,0.0,0.0,-1.0008,0,2
5105.T,2,0.5,1.2,1.1982414068745006,0.09920000000000007,0,2
5108.T,9,0.2222222222222222,0.34285714285714286,0.3423546876784287,-0.5119111111111111,0,2
5246.T,0,0.0,0.0,0.0,0.0,0,2
5253.T,1,1.0,999.0,999.0,1.1992,0,2
5401.T,7,0.14285714285714285,0.15,0.12488337998134079,-1.5008,0,2
5406.T,3,0.0,0.0,0.0,-1.0008,0,2
5411.T,3,0.6666666666666666,999.0,1.1987205117952817,0.13253333333333328,0,2
5595.T,4,0.25,0.39999999999999997,0.3994138022915002,-0.4507999999999999,0,2
5631.T,9,0.2222222222222222,0.25,0.2140857942537271,-1.2230222222222222,0,2
5706.T,7,0.42857142857142855,1.125,1.1235011990407675,0.07062857142857148,0,2
5711.T,5,0.0,0.0,0.0,-1.0008,0,2
5713.T,10,0.2,0.6,0.37450039968025584,-0.5007999999999999,0,2
5724.T,0,0.0,0.0,0.0,0.0,0,2
5726.T,4,0.0,0.0,0.0,-1.0008,0,2
5801.T,4,0.75,4.5,4.49400479616307,0.8742000000000001,0,2
5802.T,5,0.4,3.0,0.9986677324806824,-0.0007999999999998009,0,2
5803.T,9,0.4444444444444444,1.2,1.1984012789768186,0.11031111111111114,0,2
5838.T,7,0.0,0.0,0.0,-1.0008,0,2
5991.T,1,0.0,0.0,0.0,-1.0008,0,2
6098.T,4,0.0,0.0,0.0,-2.0008,0,2
6141.T,0,0.0,0.0,0.0,0.0,0,2
6146.T,11,0.09090909090909091,0.16666666666666666,0.14980015987210235,-0.7735272727272726,0,2
6177.T,1,0.0,0.0,0.0,-1.0008,0,2
6178.T,4,0.0,0.0,0.0,-1.0008,0,2
6232.T,2,0.5,999.0,1.4980015987210233,0.2492000000000001,0,2
6268.T,0,0.0,0.0,0.0,0.0,0,2
6301.T,3,0.6666666666666666,3.0,2.9960031974420467,0.6658666666666667,0,2
6315.T,6,0.0,0.0,0.0,-1.0008,0,2
6323.T,9,0.5555555555555556,1.25,0.9366253498600562,-0.05635555555555538,0,2
6324.T,2,0.5,1.2,1.1982414068745006,0.09920000000000007,0,2
6326.T,3,0.3333333333333333,0.375,0.3746501399440224,-0.8341333333333334,0,2
6330.T,3,0.0,0.0,0.0,-1.0008,0,2
6361.T,8,0.125,0.25,0.21400022838871763,-0.6882999999999999,0,2
6367.T,7,0.14285714285714285,0.3,0.24966693312017055,-0.6436571428571428,0,2
6460.T,0,0.0,0.0,0.0,0.0,0,2
6479.T,0,0.0,0.0,0.0,0.0,0,2
6501.T,3,0.0,0.0,0.0,-1.0008,0,2
6503.T,6,0.0,0.0,0.0,-2.0008,0,2
6506.T,3,0.0,0.0,0.0,-2.0008,0,2
6525.T,9,0.1111111111111111,0.09375,0.0936625349860056,-1.611911111111111,0,2
6526.T,5,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
6532.T,5,0.0,0.0,0.0,-2.0008,0,2
6590.T,10,0.1,0.21428571428571427,0.1664446220801137,-0.7507999999999999,0,2
6594.T,5,0.0,0.0,0.0,-2.0008,0,2
6701.T,2,0.0,0.0,0.0,-1.0008,0,2
6702.T,4,0.0,0.0,0.0,-1.0008,0,2
6723.T,8,0.625,1.25,1.248833799813408,0.1867000000000001,0,2
6752.T,5,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
6758.T,6,0.16666666666666666,0.3,0.29960031974420465,-0.5841333333333333,0,2
6762.T,5,0.8,999.0,2.99720111955218,0.7992000000000004,0,2
6814.T,4,0.0,0.0,0.0,-1.0008,0,2
6857.T,6,0.16666666666666666,0.3,0.29960031974420465,-0.5841333333333333,0,2
6861.T,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
6869.T,2,0.0,0.0,0.0,-1.0008,0,2
6871.T,3,0.0,0.0,0.0,-1.0008,0,2
6902.T,6,0.16666666666666666,0.3,0.29960031974420465,-0.5841333333333333,0,2
6920.T,7,0.0,0.0,0.0,-1.0008,0,2
6954.T,3,0.3333333333333333,1.5,0.7490007993605117,-0.16746666666666665,0,2
6963.T,3,0.0,0.0,0.0,-1.0008,0,2
6965.T,0,0.0,0.0,0.0,0.0,0,2
6971.T,1,0.0,0.0,0.0,-1.0008,0,2
6976.T,6,0.3333333333333333,0.5,0.3746501399440224,-0.8341333333333334,0,2
6981.T,6,0.3333333333333333,0.75,0.7490007993605117,-0.16746666666666665,0,2
6988.T,6,0.3333333333333333,0.5,0.3746501399440224,-0.8341333333333334,0,2
7003.T,7,0.14285714285714285,0.3,0.24966693312017055,-0.6436571428571428,0,2
7011.T,8,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
7012.T,8,0.125,0.3,0.21400022838871763,-0.6882999999999999,0,2
7013.T,6,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
7167.T,2,0.5,999.0,0.7493002798880448,-0.2507999999999999,0,2
7182.T,5,0.2,0.5,0.37450039968025584,-0.5007999999999999,0,2
7186.T,0,0.0,0.0,0.0,0.0,0,2
7201.T,7,0.14285714285714285,0.3,0.1997069011457501,-0.6865142857142856,0,2
7202.T,0,0.0,0.0,0.0,0.0,0,2
7203.T,6,0.0,0.0,0.0,-2.0008,0,2
7211.T,0,0.0,0.0,0.0,0.0,0,2
7261.T,4,0.0,0.0,0.0,-1.0008,0,2
7267.T,8,0.25,0.6,0.49933386624034115,-0.3757999999999999,0,2
7269.T,3,0.3333333333333333,0.375,0.3746501399440224,-0.8341333333333334,0,2
7270.T,5,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
7272.T,6,0.0,0.0,0.0,-2.0008,0,2
7453.T,4,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
7532.T,3,0.3333333333333333,0.75,0.7490007993605117,-0.16746666666666665,0,2
7711.T,6,0.16666666666666666,0.375,0.29960031974420465,-0.5841333333333333,0,2
7731.T,2,0.0,0.0,0.0,-1.0008,0,2
7733.T,0,0.0,0.0,0.0,0.0,0,2
7735.T,9,0.0,0.0,0.0,-2.0008,0,2
7741.T,10,0.3,0.6,0.5135320315176432,-0.3407999999999998,0,2
7751.T,6,0.16666666666666666,0.375,0.29960031974420465,-0.5841333333333333,0,2
7832.T,3,0.0,0.0,0.0,-1.0008,0,2
7911.T,0,0.0,0.0,0.0,0.0,0,2
7912.T,0,0.0,0.0,0.0,0.0,0,2
7936.T,4,0.5,1.5,0.7493002798880448,-0.2507999999999999,0,2
7974.T,9,0.2222222222222222,0.42857142857142855,0.4280004567774352,-0.44524444444444444,0,2
8001.T,1,1.0,999.0,999.0,1.4992,0,2
8002.T,1,0.0,0.0,0.0,-1.0008,0,2
8015.T,3,0.0,0.0,0.0,-1.0008,0,2
8031.T,6,0.16666666666666666,0.375,0.29960031974420465,-0.5841333333333333,0,2
8035.T,5,0.0,0.0,0.0,-1.0008,0,2
8053.T,2,0.0,0.0,0.0,-1.0008,0,2
8058.T,5,0.0,0.0,0.0,-1.0008,0,2
8105.T,1,0.0,0.0,0.0,-1.0008,0,2
8113.T,1,0.0,0.0,0.0,-1.0008,0,2
8136.T,9,0.5555555555555556,2.5,1.8725019984012796,0.3880888888888891,0,2
8233.T,0,0.0,0.0,0.0,0.0,0,2
8267.T,5,0.0,0.0,0.0,-2.0008,0,2
8306.T,7,0.2857142857142857,0.6,0.5992006394884093,-0.2865142857142857,0,2
8308.T,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
8309.T,4,0.0,0.0,0.0,-2.0008,0,2
8316.T,6,0.5,1.125,0.7493002798880448,-0.2507999999999999,0,2
8331.T,4,0.5,3.0,1.4980015987210233,0.2492000000000001,0,2
8411.T,6,0.3333333333333333,1.0,0.7490007993605117,-0.16746666666666665,0,2
8473.T,8,0.0,0.0,0.0,-1.0008,0,2
8591.T,3,0.0,0.0,0.0,-2.0008,0,2
8601.T,3,0.0,0.0,0.0,-1.0008,0,2
8604.T,4,0.5,1.5,0.7493002798880448,-0.2507999999999999,0,2
8630.T,5,0.4,1.5,0.9986677324806824,-0.0007999999999998009,0,2
8697.T,2,0.0,0.0,0.0,-1.0008,0,2
8725.T,1,0.0,0.0,0.0,-1.0008,0,2
8729.T,6,0.5,1.125,0.7493002798880448,-0.2507999999999999,0,2
8750.T,8,0.75,4.5,4.49400479616307,0.8742000000000001,0,2
8766.T,5,0.2,0.75,0.37450039968025584,-0.5007999999999999,0,2
8795.T,2,0.0,0.0,0.0,-1.0008,0,2
8801.T,7,0.14285714285714285,0.19999999999999998,0.1997069011457501,-0.6865142857142856,0,2
8802.T,4,0.25,0.75,0.49933386624034115,-0.3757999999999999,0,2
8830.T,4,0.25,0.75,0.49933386624034115,-0.3757999999999999,0,2
9020.T,0,0.0,0.0,0.0,0.0,0,2
9021.T,3,0.0,0.0,0.0,-1.0008,0,2
9022.T,4,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
9023.T,1,0.0,0.0,0.0,-1.0008,0,2
9024.T,8,0.625,3.0,1.997069011457501,0.3742000000000001,0,2
9101.T,7,0.2857142857142857,0.24,0.2397441023590564,-1.0865142857142855,0,2
9104.T,7,0.0,0.0,0.0,-1.0008,0,2
9107.T,10,0.0,0.0,0.0,-2.0008,0,2
9143.T,3,0.0,0.0,0.0,-1.0008,0,2
9201.T,4,0.0,0.0,0.0,-1.0008,0,2
9202.T,1,0.0,0.0,0.0,-2.0008,0,2
9432.T,6,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
9433.T,4,0.5,3.0,1.4980015987210233,0.2492000000000001,0,2
9434.T,6,0.0,0.0,0.0,-1.0008,0,2
9501.T,7,0.14285714285714285,0.1875,0.12488337998134079,-1.5008,0,2
9502.T,2,0.0,0.0,0.0,-1.0008,0,2
9503.T,10,0.1,0.21428571428571427,0.1664446220801137,-0.7507999999999999,0,2
9504.T,0,0.0,0.0,0.0,0.0,0,2
9509.T,7,0.2857142857142857,0.5,0.2997201119552179,-1.0008,0,2
9513.T,1,0.0,0.0,0.0,-1.0008,0,2
9602.T,6,0.16666666666666666,0.5,0.29960031974420465,-0.5841333333333333,0,2
9697.T,4,0.25,0.375,0.2497667599626816,-1.1258,0,2
9831.T,1,0.0,0.0,0.0,-1.0008,0,2
9843.T,11,0.45454545454545453,1.25,1.248334665600853,0.13556363636363644,0,2
9861.T,0,0.0,0.0,0.0,0.0,0,2
9962.T,0,0.0,0.0,0.0,0.0,0,2
9983.T,8,0.375,1.5,0.898800959232614,-0.06329999999999991,0,2
9984.T,13,0.15384615384615385,0.24,0.21786207397718194,-0.6623384615384614,0,2
