"code","rank","picked"
"8697.T","115","0"
"6963.T","116","0"
"1605.T","117","0"
"8725.T","118","0"
"4612.T","119","0"
"1571.T","120","0"
"6326.T","121","0"
"1615.T","122","0"
"8473.T","123","0"
"402A.T","124","0"
"4593.T","125","0"
"4543.T","126","0"
"9843.T","127","0"
"3861.T","128","0"
"9704.T","129","0"
"6098.T","130","1"
"5411.T","131","0"
"7205.T","132","0"
"4563.T","133","1"
"6323.T","134","0"
"4901.T","135","0"
"3402.T","136","0"
"4586.T","137","0"
"3777.T","138","0"
"2315.T","139","0"
"7974.T","140","0"
"1662.T","141","0"
"9101.T","142","0"
"6361.T","143","0"
"3315.T","144","1"
"6574.T","145","0"
"7186.T","146","0"
"9104.T","147","0"
"6988.T","148","0"
"7733.T","149","0"
"9503.T","150","0"
"6146.T","151","0"
"3664.T","152","0"
"9831.T","153","0"
"4680.T","154","0"
"5108.T","155","0"
"7936.T","156","0"
"5019.T","157","0"
"5802.T","158","0"
"4519.T","159","0"
"8233.T","160","0"
"8591.T","161","0"
"7270.T","162","0"
"8053.T","163","0"
"6869.T","164","0"
"3407.T","165","0"
"7776.T","166","0"
"8331.T","167","0"
"8802.T","168","0"
"4385.T","169","0"
"5595.T","170","0"
"4911.T","171","0"
"9509.T","172","0"
"8515.T","173","0"
"7777.T","174","0"
"7751.T","175","0"
"4902.T","176","0"
"2413.T","177","0"
"8001.T","178","0"
"7202.T","179","0"
"8593.T","180","0"
"3092.T","181","0"
"2432.T","182","0"
"2914.T","183","0"
"4661.T","184","0"
"6471.T","185","0"
"3825.T","186","0"
"3231.T","187","0"
"2503.T","188","0"
"2743.T","189","0"
"3289.T","190","0"
"4507.T","191","0"
"5726.T","192","0"
"8698.T","193","0"
"6301.T","194","0"
"5955.T","195","0"
"9973.T","196","0"
"6753.T","197","0"
"2586.T","198","0"
"8630.T","199","0"
"3823.T","200","0"
"5076.T","201","0"
"6965.T","202","0"
"7599.T","203","1"
"1911.T","204","0"
"1655.T","205","0"
"4446.T","206","0"
"2801.T","207","0"
"8524.T","208","0"
"2644.T","209","0"
"8309.T","210","0"
"4594.T","211","1"
"7259.T","212","0"
"247A.T","213","0"
"8015.T","214","0"
"7003.T","215","0"
"4344.T","216","1"
"1306.T","217","0"
"9023.T","218","0"
"9424.T","219","1"
"218A.T","220","0"
"3038.T","221","0"
"290A.T","222","0"
"3086.T","223","0"
"4259.T","224","0"
"8105.T","225","0"
"6573.T","226","0"
"4528.T","227","0"
"4996.T","228","0"
"7752.T","229","0"
"7746.T","230","0"
"3323.T","231","0"
"1802.T","232","0"
"4062.T","233","0"
"2897.T","234","0"
"2269.T","235","0"
"4751.T","236","0"
"5406.T","237","0"
"1928.T","238","0"
"4592.T","239","0"
"9201.T","240","0"
"4004.T","241","0"
"6324.T","242","0"
"5202.T","243","0"
"3099.T","244","0"
"1803.T","245","0"
"5706.T","246","0"
"9020.T","247","0"
"8714.T","248","0"
"8572.T","249","0"
"5950.T","250","0"
"2802.T","251","0"
"6659.T","252","0"
"2726.T","253","0"
"7951.T","254","0"
"7711.T","255","0"
"5301.T","256","0"
"9348.T","257","0"
"4443.T","258","0"
"9022.T","259","0"
"5831.T","260","0"
"408A.T","261","0"
"5711.T","262","0"
"9202.T","263","0"
"3659.T","264","0"
"4182.T","265","0"
"9697.T","266","0"
"6976.T","267","0"
"7832.T","268","0"
"9983.T","269","0"
"9506.T","270","0"
"7762.T","271","0"
"179A.T","272","0"
"6268.T","273","0"
"4452.T","274","0"
"7731.T","275","0"
"9143.T","276","0"
"8789.T","277","0"
"7014.T","278","0"
"4591.T","279","0"
"2127.T","280","0"
"8848.T","281","0"
"6479.T","282","0"
"425A.T","283","0"
"6845.T","284","0"
"6966.T","285","0"
"9504.T","286","0"
"2492.T","287","0"
"9005.T","288","0"
"6814.T","289","0"
"9021.T","290","0"
"7735.T","291","0"
"9502.T","292","0"
"3923.T","293","0"
"3405.T","294","0"
"2871.T","295","0"
"5110.T","296","0"
"1893.T","297","0"
"3003.T","298","0"
"2267.T","299","0"
"7779.T","300","0"
"6740.T","301","1"
"3315.T","302","1"
"9424.T","303","1"
