"code","ATR_n","TPk","SLk","J_th","dJ_th","vEMA_th","winrate","PF_eff","trades"
"6326.T","3","1.2","1.5","1","0.02","0.05","0.296296296296296","0.336438110200875","54"
"6330.T","5","1.2","2","1","0.05","0.02","0.266666666666667","0.217949183962779","45"
"6361.T","3","1.2","2","0.6","0.02","0.05","0.392857142857143","0.387821342051415","56"
"6471.T","1","1.2","2","0.8","0.05","0.05","0.306451612903226","0.264833601443144","62"
"6472.T","1","1.2","1.5","0.8","0.02","0.05","0.2","0.19976012793177","65"
"6479.T","2","1.2","2","0.6","0.05","0.05","0.319148936170213","0.280950119952019","47"
"6501.T","3","1.2","1.5","0.6","0.05","0.02","0.101449275362319","0.0902142513240251","69"
"6503.T","2","1.2","1.5","0.6","0.05","0.02","0.178082191780822","0.173125444207534","73"
"6506.T","5","1.2","2","0.8","0.05","0.05","0.361702127659574","0.339637478341997","47"
"6525.T","3","1.2","2","1","0.02","0.05","0.2","0.14984006397441","60"
"6526.T","2","1.2","2","1","0.05","0.02","0.266666666666667","0.217949183962779","60"
"6573.T","1","1.2","1.5","1","0.02","0.02","0.4","0.532693674484719","10"
"6574.T","2","1.2","2","0.8","0.05","0.02","0.209677419354839","0.159013945442231","62"
"6594.T","3","1.2","2","1","0.05","0.02","0.25","0.19978675196588","48"
"6659.T","2","1.2","1.5","0.6","0.02","0.02","0.346153846153846","0.423021447384924","26"
"6701.T","5","1.2","2","1","0.05","0.05","0.26","0.210586035855928","50"
"6702.T","5","1.2","2","1","0.05","0.02","0.215686274509804","0.164824070371851","51"
"6723.T","3","1.2","2","0.8","0.02","0.02","0.388059701492537","0.380082113496065","67"
"6740.T","1","0.8","1.5","0.8","0.02","0.02","1","999","2"
"6752.T","2","1.2","2","0.8","0.05","0.02","0.365079365079365","0.344632147141144","63"
"6753.T","5","1.2","2","1","0.02","0.05","0.3","0.256868681098989","70"
"6758.T","5","1.2","2","0.6","0.05","0.05","0.25","0.19978675196588","48"
"6762.T","5","1.2","2","1","0.05","0.05","0.425531914893617","0.443970559924178","47"
"6814.T","3","1.2","2","0.6","0.05","0.05","0.228571428571429","0.177588223969671","70"
"6845.T","1","1.2","1.5","0.8","0.05","0.05","0.109090909090909","0.0978416953135199","55"
"6857.T","3","1.2","2","0.6","0.05","0.05","0.3125","0.272436479953473","48"
"6869.T","3","1.2","2","0.8","0.05","0.02","0.157894736842105","0.112380047980808","76"
"6902.T","1","1.2","1.5","0.6","0.02","0.05","0.254545454545455","0.272843101565344","55"
"6920.T","2","1.2","1.5","1","0.02","0.05","0.4","0.532693674484719","45"
"6954.T","3","1.2","1.5","1","0.05","0.05","0.12280701754386","0.111865671641791","57"
"6963.T","3","1.2","2","1","0.05","0.05","0.285714285714286","0.239744102359056","56"
"6965.T","3","1.2","2","0.6","0.02","0.02","0.296875","0.253063219156782","64"
"6966.T","2","1.2","2","1","0.02","0.05","0.285714285714286","0.239744102359056","56"
"6971.T","1","1.2","1.5","0.6","0.02","0.05","0.317460317460317","0.371646749640502","63"
"6976.T","1","1.2","1.5","1","0.05","0.02","0.0925925925925926","0.0815347460945999","54"
"6981.T","3","1.2","2","0.6","0.05","0.05","0.254237288135593","0.204327359965105","59"
"6988.T","1","1.2","1.5","0.6","0.05","0.05","0.183333333333333","0.17937644140812","60"
"6993.T","1","0.8","1.5","0.6","0.05","0.02","1","999","2"
"7003.T","3","1.2","1.5","1","0.02","0.05","0.32","0.376019064342155","50"
"7011.T","1","1.2","1.5","1","0.05","0.05","0.431818181818182","0.60727078891258","44"
"7012.T","3","1.2","2","1","0.05","0.02","0.366666666666667","0.346998042888108","60"
"7013.T","3","1.2","2","1","0.05","0.05","0.477272727272727","0.547241972776107","44"
"7014.T","2","1.2","1.5","1","0.02","0.05","0.147058823529412","0.137765605470186","68"
"7167.T","5","1.2","2","1","0.05","0.05","0.212765957446809","0.161989258350714","47"
"7182.T","5","1.2","2","0.6","0.05","0.05","0.450980392156863","0.492331638773062","51"
"7186.T","1","1.2","2","1","0.05","0.05","0.222222222222222","0.171245787399326","45"
"7201.T","5","1.2","2","0.6","0.05","0.05","0.440677966101695","0.472223231919354","59"
"7202.T","2","1.2","1.5","0.8","0.02","0.05","0.209677419354839","0.21199033984596","62"
"7203.T","5","1.2","2","0.6","0.02","0.05","0.518518518518518","0.64546489096669","54"
"7205.T","2","1.2","1.5","0.6","0.05","0.02","0.258064516129032","0.277927134513767","62"
"7211.T","3","1.2","2","0.8","0.05","0.02","0.357142857142857","0.332977919943134","70"
"7259.T","5","1.2","2","1","0.05","0.05","0.311111111111111","0.270678825244096","45"
"7261.T","1","1.2","1.5","0.6","0.05","0.05","0.166666666666667","0.159808102345416","54"
"7267.T","5","1.2","2","0.8","0.02","0.05","0.636363636363636","1.04888044782087","44"
"7269.T","5","1.2","1.5","0.6","0.05","0.05","0.280701754385965","0.31182068750325","57"
"7270.T","2","1.2","1.5","1","0.02","0.02","0.352941176470588","0.435840279123861","68"
"7272.T","2","1.2","2","0.6","0.05","0.02","0.342465753424658","0.312166799946688","73"
"7453.T","5","1.2","2","1","0.05","0.02","0.483333333333333","0.560691852291342","60"
"7527.T","1","0.8","1.5","0.8","0.02","0.02","0.333333333333333","0.266257995735608","6"
"7532.T","5","1.2","1.5","0.8","0.05","0.05","0.275","0.303084332034409","40"
"7599.T","5","1.2","2","0.8","0.05","0.02","0.603448275862069","0.912069954626845","58"
"7711.T","2","1.2","2","0.6","0.02","0.05","0.4","0.399573503931761","50"
"7731.T","2","1.2","1.5","1","0.02","0.02","0.260869565217391","0.282014298256616","69"
"7733.T","1","1.2","2","0.8","0.05","0.02","0.372549019607843","0.355870151939224","51"
"7735.T","2","1.2","2","0.8","0.02","0.05","0.346938775510204","0.318410135945622","49"
"7746.T","5","1.2","2","0.8","0.05","0.05","0.207547169811321","0.156975305116049","53"
"7751.T","5","1.2","1.5","0.8","0.05","0.05","0.390625","0.512205456235307","64"
"7752.T","5","1.2","2","1","0.05","0.02","0.363636363636364","0.342491574798652","55"
"7762.T","1","1.2","1.5","0.8","0.02","0.05","0.217391304347826","0.221955697701966","23"
"7776.T","2","1.2","1.5","1","0.02","0.05","0.140350877192982","0.13045559375136","57"
"7777.T","5","1.2","2","0.8","0.05","0.02","0.137254901960784","0.0953527679837156","51"
"7779.T","1","0.8","1.5","0.6","0.05","0.02","0.333333333333333","0.266257995735608","12"
"7832.T","5","1.2","1.5","0.8","0.05","0.05","0.245283018867925","0.259688166311301","53"
"7936.T","5","1.2","2","0.8","0.02","0.02","0.5","0.599360255897641","58"
"7951.T","5","1.2","2","1","0.05","0.05","0.254901960784314","0.205044298070246","51"
"7974.T","5","1.2","2","0.6","0.02","0.05","0.533333333333333","0.684983149597304","45"
"8001.T","5","1.2","1.5","1","0.05","0.02","0.363636363636364","0.456594578129759","66"
"8002.T","5","1.2","2","0.8","0.05","0.05","0.350877192982456","0.323978516701428","57"
"8015.T","5","1.2","1.5","0.6","0.02","0.05","0.283582089552239","0.316286869225302","67"
"8031.T","2","1.2","2","1","0.05","0.02","0.375","0.359616153538585","56"
"8035.T","2","1.2","1.5","0.6","0.05","0.05","0.231884057971014","0.241219777125156","69"
"8053.T","1","1.2","2","1","0.02","0.05","0.309090909090909","0.268134851322629","55"
"8058.T","5","1.2","1.5","1","0.02","0.05","0.34375","0.418545029952279","64"
"8105.T","5","1.2","1.5","0.6","0.02","0.02","0.179487179487179","0.174790111940299","78"
"8113.T","5","1.2","2","0.8","0.02","0.02","0.369230769230769","0.350845027842522","65"
"8136.T","5","1.2","2","1","0.05","0.02","0.246153846153846","0.195709471313515","65"
"8233.T","3","1.2","1.5","0.6","0.05","0.05","0.28","0.310737976782753","50"
"8267.T","5","1.2","1.5","0.6","0.02","0.02","0.0169491525423729","0.0137765605470186","59"
"8306.T","2","1.2","2","1","0.02","0.05","0.489795918367347","0.575385845661735","49"
"8308.T","2","1.2","2","1","0.05","0.02","0.363636363636364","0.342491574798652","55"
"8309.T","3","1.2","2","1","0.02","0.05","0.516129032258065","0.639317606290817","62"
"8316.T","5","1.2","2","0.8","0.05","0.05","0.454545454545455","0.499466879914701","44"
"8331.T","1","1.2","1.5","0.6","0.05","0.02","0.253968253968254","0.27201379122624","63"
"8410.T","1","1.2","2","1","0.05","0.05","0.40625","0.410088596140491","32"
"8411.T","2","1.2","1.5","1","0.05","0.05","0.304347826086957","0.349580223880597","46"
"8473.T","2","1.2","2","0.6","0.05","0.02","0.183098591549296","0.134339367701195","71"
"8515.T","1","1","1.5","0.6","0.05","0.02","0.363636363636364","0.380444715199513","11"
"8524.T","1","1.2","1.5","1","0.02","0.05","0.3","0.34244593359732","10"
"8572.T","1","1.2","2","0.6","0.05","0.05","0.283018867924528","0.236589574696437","53"
"8591.T","2","1.2","1.5","1","0.02","0.02","0.219178082191781","0.22429207346725","73"
"8593.T","1","1.2","2","1","0.02","0.02","0.319148936170213","0.280950119952019","47"
"8601.T","2","1.2","2","0.8","0.02","0.05","0.283582089552239","0.237246767959483","67"
"8604.T","3","1.2","1.5","0.6","0.02","0.05","0.292307692307692","0.330038472235098","65"
"8630.T","5","1.2","2","0.8","0.05","0.05","0.407407407407407","0.412060175929628","54"
"8697.T","3","1.2","1.5","0.6","0.05","0.02","0.169491525423729","0.1630694921892","59"
"8698.T","1","1.2","1.5","1","0.02","0.02","0.264705882352941","0.287654584221748","34"
"8714.T","1","1.2","1.5","1","0.05","0.02","0.166666666666667","0.159808102345416","12"
"8725.T","3","1.2","1.5","0.6","0.05","0.02","0.305084745762712","0.350798273441157","59"
"8729.T","2","1.2","2","1","0.05","0.05","0.387755102040816","0.379594828735173","49"
"8750.T","5","1.2","1.5","1","0.05","0.05","0.244897959183673","0.259148274073647","49"
"8766.T","5","1.2","2","0.8","0.05","0.05","0.268292682926829","0.219765427162468","41"
"8789.T","1","1","1.5","0.6","0.02","0.02","0","0","0"
"8801.T","2","1.2","2","1","0.05","0.05","0.563636363636364","0.774173663867786","55"
"8802.T","2","1.2","2","0.6","0.02","0.02","0.385542168674699","0.376069180171069","83"
"8848.T","1","1","1.5","0.8","0.02","0.05","0.541666666666667","0.786828842798992","24"
"8912.T","2","1.2","1.5","1","0.05","0.05","0.466666666666667","0.699160447761194","15"
"8918.T","1","0.8","1.5","0.6","0.02","0.02","0","0","0"
"9005.T","5","1.2","2","1","0.02","0.02","0.37037037037037","0.352564856410377","54"
"9020.T","2","1.2","2","1","0.02","0.05","0.327586206896552","0.291996022103979","58"
"9021.T","2","1.2","2","0.8","0.02","0.02","0.303571428571429","0.261259598724613","56"
"9022.T","2","1.2","1.5","0.8","0.02","0.02","0.345454545454545","0.421715825633736","55"
"9023.T","5","1.2","1.5","0.6","0.05","0.02","0.367647058823529","0.464558437050627","68"
"9101.T","5","1.2","2","0.8","0.02","0.05","0.320754716981132","0.283031231951664","53"
"9104.T","3","1.2","1.5","0.8","0.05","0.02","0.475409836065574","0.724130463752665","61"
"9107.T","1","1.2","1.5","0.6","0.05","0.05","0.175438596491228","0.1700086195164","57"
"9143.T","1","1.2","1.5","0.6","0.05","0.02","0.428571428571429","0.599280383795309","42"
"9201.T","5","1.2","1.5","0.8","0.02","0.02","0.318840579710145","0.37401896293608","69"
"9202.T","2","1.2","2","1","0.02","0.02","0.305882352941176","0.264124858531164","85"
"9348.T","1","1.2","1.5","0.6","0.05","0.02","0.454545454545455","0.665867093105899","11"
"9424.T","1","0.8","1.5","0.6","0.02","0.02","0.666666666666667","1.06503198294243","15"
"9432.T","3","1.2","2","0.6","0.05","0.02","0.574468085106383","0.809136345461816","47"
"9433.T","2","1.2","2","0.8","0.05","0.05","0.326086956521739","0.290013027047246","46"
"9434.T","2","1.2","2","0.8","0.05","0.02","0.317460317460317","0.278772212045414","63"
"9501.T","5","1.2","2","0.6","0.05","0.05","0.3125","0.272436479953473","48"
"9502.T","2","1.2","1.5","1","0.02","0.05","0.293333333333333","0.331677193547089","75"
"9503.T","3","1.2","2","0.6","0.02","0.02","0.405405405405405","0.40865471993021","74"
"9504.T","3","1.2","1.5","0.6","0.05","0.05","0.342465753424658","0.416166933191187","73"
"9506.T","1","1.2","2","1","0.05","0.05","0.180327868852459","0.131859256297481","61"
"9509.T","2","1.2","2","0.6","0.02","0.02","0.192307692307692","0.142704822832772","78"
"9697.T","3","1.2","2","0.6","0.02","0.02","0.26865671641791","0.220173155227705","67"
"9704.T","1","0.8","1.5","0.6","0.02","0.02","0.5","0.532515991471215","2"
"9831.T","1","1.2","1.5","0.8","0.05","0.02","0.274509803921569","0.302339653085922","51"
"9843.T","5","1.2","2","0.8","0.05","0.05","0.511111111111111","0.626603903892988","45"
"9973.T","1","0.8","1.5","0.6","0.02","0.02","1","999","1"
"9983.T","2","1.2","1.5","0.6","0.02","0.02","0.180327868852459","0.175788912579957","61"
"9984.T","3","1.2","1.5","1","0.02","0.05","0.192307692307692","0.1902477408874","52"
