ticker,rows
7762.T,"ERROR:Already tz-aware, use tz_convert to convert."
3853.T,"ERROR:Already tz-aware, use tz_convert to convert."
9506.T,"ERROR:Already tz-aware, use tz_convert to convert."
3099.T,"ERROR:Already tz-aware, use tz_convert to convert."
7731.T,"ERROR:Already tz-aware, use tz_convert to convert."
7186.T,"ERROR:Already tz-aware, use tz_convert to convert."
6472.T,"ERROR:Already tz-aware, use tz_convert to convert."
5019.T,"ERROR:Already tz-aware, use tz_convert to convert."
4507.T,"ERROR:Already tz-aware, use tz_convert to convert."
7202.T,"ERROR:Already tz-aware, use tz_convert to convert."
8524.T,"ERROR:Already tz-aware, use tz_convert to convert."
8309.T,"ERROR:Already tz-aware, use tz_convert to convert."
8848.T,"ERROR:Already tz-aware, use tz_convert to convert."
4385.T,"ERROR:Already tz-aware, use tz_convert to convert."
2897.T,"ERROR:Already tz-aware, use tz_convert to convert."
2802.T,"ERROR:Already tz-aware, use tz_convert to convert."
9020.T,"ERROR:Already tz-aware, use tz_convert to convert."
7259.T,"ERROR:Already tz-aware, use tz_convert to convert."
5726.T,"ERROR:Already tz-aware, use tz_convert to convert."
9104.T,"ERROR:Already tz-aware, use tz_convert to convert."
2503.T,"ERROR:Already tz-aware, use tz_convert to convert."
6506.T,"ERROR:Already tz-aware, use tz_convert to convert."
9022.T,"ERROR:Already tz-aware, use tz_convert to convert."
9831.T,"ERROR:Already tz-aware, use tz_convert to convert."
7003.T,"ERROR:Already tz-aware, use tz_convert to convert."
7832.T,"ERROR:Already tz-aware, use tz_convert to convert."
8515.T,"ERROR:Already tz-aware, use tz_convert to convert."
8001.T,"ERROR:Already tz-aware, use tz_convert to convert."
3289.T,"ERROR:Already tz-aware, use tz_convert to convert."
2267.T,"ERROR:Already tz-aware, use tz_convert to convert."
4528.T,"ERROR:Already tz-aware, use tz_convert to convert."
1802.T,"ERROR:Already tz-aware, use tz_convert to convert."
1803.T,"ERROR:Already tz-aware, use tz_convert to convert."
6871.T,"ERROR:Already tz-aware, use tz_convert to convert."
8053.T,"ERROR:Already tz-aware, use tz_convert to convert."
7167.T,"ERROR:Already tz-aware, use tz_convert to convert."
5991.T,"ERROR:Already tz-aware, use tz_convert to convert."
8630.T,"ERROR:Already tz-aware, use tz_convert to convert."
8015.T,"ERROR:Already tz-aware, use tz_convert to convert."
0409.T,0
9697.T,"ERROR:Already tz-aware, use tz_convert to convert."
9502.T,"ERROR:Already tz-aware, use tz_convert to convert."
6976.T,"ERROR:Already tz-aware, use tz_convert to convert."
6988.T,"ERROR:Already tz-aware, use tz_convert to convert."
6965.T,"ERROR:Already tz-aware, use tz_convert to convert."
7752.T,"ERROR:Already tz-aware, use tz_convert to convert."
6301.T,"ERROR:Already tz-aware, use tz_convert to convert."
3110.T,"ERROR:Already tz-aware, use tz_convert to convert."
9202.T,"ERROR:Already tz-aware, use tz_convert to convert."
3003.T,"ERROR:Already tz-aware, use tz_convert to convert."
5706.T,"ERROR:Already tz-aware, use tz_convert to convert."
5535.T,"ERROR:Already tz-aware, use tz_convert to convert."
9424.T,"ERROR:Already tz-aware, use tz_convert to convert."
1911.T,"ERROR:Already tz-aware, use tz_convert to convert."
4911.T,"ERROR:Already tz-aware, use tz_convert to convert."
7735.T,"ERROR:Already tz-aware, use tz_convert to convert."
9508.T,"ERROR:Already tz-aware, use tz_convert to convert."
9023.T,"ERROR:Already tz-aware, use tz_convert to convert."
4902.T,"ERROR:Already tz-aware, use tz_convert to convert."
8795.T,"ERROR:Already tz-aware, use tz_convert to convert."
8698.T,"ERROR:Already tz-aware, use tz_convert to convert."
9201.T,"ERROR:Already tz-aware, use tz_convert to convert."
4704.T,"ERROR:Already tz-aware, use tz_convert to convert."
1861.T,"ERROR:Already tz-aware, use tz_convert to convert."
4452.T,"ERROR:Already tz-aware, use tz_convert to convert."
2127.T,"ERROR:Already tz-aware, use tz_convert to convert."
9021.T,"ERROR:Already tz-aware, use tz_convert to convert."
5406.T,"ERROR:Already tz-aware, use tz_convert to convert."
9009.T,"ERROR:Already tz-aware, use tz_convert to convert."
4062.T,"ERROR:Already tz-aware, use tz_convert to convert."
3038.T,"ERROR:Already tz-aware, use tz_convert to convert."
5108.T,"ERROR:Already tz-aware, use tz_convert to convert."
7951.T,"ERROR:Already tz-aware, use tz_convert to convert."
