code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
8411.T,,8411,みずほフィナンシャルＧ,0,東Ｐ,貸借,▼,"4,663.00",30,0.65%,"3,253,000","4,655.00","4,671.00","4,637.00",11:30,〇,-,-,"776,100"
6752.T,,6752,パナソニックホールディンク,0,東Ｐ,貸借,▲,"1,797.50",-0.5,-0.03%,"2,984,600","1,810.50","1,812.00","1,771.50",11:30,〇,-,-,"145,700"
3656.T,,3656,ＫＬａｂ,0,東Ｐ,貸借,▲,214,1,0.47%,"2,966,100",213,217,211,11:30,〇,0.2,-,0
3086.T,,3086,Ｊ．フロントリテイリング,0,東Ｐ,貸借,▲,"2,409.00",-76,-3.06%,"2,958,300","2,385.00","2,463.00","2,357.00",11:30,〇,-,0.05,"40,600"
9433.T,,9433,ＫＤＤＩ,0,東Ｐ,貸借,▲,"2,353.50",-16,-0.68%,"2,905,400","2,369.50","2,378.50","2,353.00",11:30,〇,-,-,"877,600"
4568.T,,4568,第一三共,0,東Ｐ,貸借,▲,"4,010.00",110,2.82%,"2,887,700","3,883.00","4,022.00","3,878.00",11:30,〇,-,-,"94,900"
8058.T,,8058,三菱商事,0,東Ｐ,貸借,▲,"3,588.00",70,1.99%,"2,830,700","3,563.00","3,592.00","3,560.00",11:30,〇,-,-,"1,384,200"
9704.T,,9704,アゴーラホスピタリティーＧ,0,東Ｓ,信用,▲,58,6,11.54%,"2,804,300",53,58,53,11:28,〇,0.1,-,0
8750.T,,8750,第一生命ＨＬＤＧＳ,0,東Ｐ,貸借,▲,"1,108.50",8.5,0.77%,"2,712,100","1,107.50","1,113.00","1,101.50",11:30,〇,-,-,"265,600"
5020.T,,5020,ＥＮＥＯＳホールディングス,0,東Ｐ,貸借,▲,919.8,4.2,0.46%,"2,685,500",915.6,923,911.7,11:30,〇,-,-,"1,263,100"
7012.T,,7012,川崎重工業,0,東Ｐ,貸借,▼,"9,851.00",384,4.06%,"2,670,300","9,592.00","9,854.00","9,552.00",11:30,〇,-,-,"46,500"
4503.T,,4503,アステラス製薬,0,東Ｐ,貸借,▼,"1,586.50",0.5,0.03%,"2,617,000","1,600.00","1,608.00","1,585.00",11:30,〇,-,-,"446,700"
6323.T,,6323,ローツェ,0,東Ｐ,貸借,▼,"2,294.00",-115,-4.77%,"2,608,600","2,395.00","2,411.50","2,254.00",11:30,〇,-,-,"13,300"
7182.T,,7182,ゆうちょ銀行,0,東Ｐ,貸借,▼,"1,704.50",4,0.24%,"2,447,000","1,718.50","1,719.50","1,698.50",11:30,〇,-,-,"71,700"
1357.T,,1357,ＮＦ日経ダブインバ,0,東Ｐ,貸借,▲,"6,786.00",-196,-2.81%,"2,434,914","6,917.00","6,950.00","6,775.00",11:30,〇,-,-,"72,321"
3436.T,,3436,ＳＵＭＣＯ,0,東Ｐ,貸借,▼,"1,673.50",47.5,2.92%,"2,425,100","1,617.00","1,675.00","1,615.00",11:30,〇,-,-,"142,200"
6981.T,,6981,村田製作所,0,東Ｐ,貸借,▼,"2,788.50",66,2.42%,"2,408,900","2,772.50","2,791.00","2,751.50",11:30,〇,-,-,"158,000"
6503.T,,6503,三菱電機,0,東Ｐ,貸借,▲,"3,922.00",129,3.40%,"2,405,200","3,816.00","3,924.00","3,806.00",11:30,〇,-,-,"102,100"
5108.T,,5108,ブリヂストン,0,東Ｐ,貸借,▼,"6,505.00",-77,-1.17%,"2,404,200","6,482.00","6,558.00","6,431.00",11:30,〇,-,-,"51,600"
4446.T,,4446,ＬＩＮＫ－Ｕグループ,0,東Ｐ,貸借,▼,"1,685.00",164,10.78%,"2,378,900","1,761.00","1,814.00","1,557.00",11:30,✕,-,-,0
8601.T,,8601,大和証券Ｇ本社,0,東Ｐ,貸借,▲,"1,137.50",18,1.61%,"2,347,300","1,130.00","1,142.00","1,130.00",11:30,〇,-,-,"388,300"
3382.T,,3382,セブン＆アイ・ＨＬＤＧＳ,0,東Ｐ,貸借,▼,"1,980.00",18.5,0.94%,"2,345,200","1,972.00","1,985.00","1,959.50",11:30,〇,-,-,"245,500"
6525.T,,6525,ＫＯＫＵＳＡＩＥＬＥＣＴＲＩＣ,0,東Ｐ,貸借,▲,"4,350.00",146,3.47%,"2,298,200","4,171.00","4,350.00","4,158.00",11:30,〇,-,-,"102,600"
7794.T,,7794,イーディーピー,0,東Ｇ,信用,▼,547,1,0.18%,"2,288,400",543,646,517,11:30,〇,1.2,-,"27,300"
4088.T,,4088,エア・ウォーター,0,東Ｐ,貸借,▼,"2,225.50",115.5,5.47%,"2,208,800","2,160.00","2,243.00","2,152.00",11:30,〇,-,0.1,"73,800"
6315.T,,6315,ＴＯＷＡ,0,東Ｐ,貸借,▼,"2,022.00",-11,-0.54%,"2,105,900","2,041.00","2,058.00","2,013.00",11:30,〇,-,-,"60,800"
7211.T,,7211,三菱自動車工業,0,東Ｐ,貸借,▲,382.7,2.9,0.76%,"2,104,700",384.1,385.3,380.6,11:30,✕,-,-,"130,900"
7711.T,,7711,助川電気工業,0,東Ｓ,信用,▲,"7,960.00","1,000.00",14.37%,"2,103,700","7,210.00","7,960.00","7,140.00",10:51,〇,9.6,-,0
5713.T,,5713,住友鉱山,0,東Ｐ,貸借,▲,"5,287.00",187,3.67%,"2,100,900","5,259.00","5,346.00","5,207.00",11:30,〇,-,-,"84,300"
6762.T,,6762,ＴＤＫ,0,東Ｐ,貸借,▲,"2,218.50",78.5,3.67%,"2,098,100","2,162.50","2,226.50","2,162.50",11:30,〇,-,-,"99,300"
8410.T,,8410,セブン銀行,0,東Ｐ,貸借,▼,279.3,2.6,0.94%,"2,082,600",280.5,281.2,278.8,11:30,〇,-,-,"251,200"
6702.T,,6702,富士通,0,東Ｐ,貸借,▼,"3,784.00",46,1.23%,"2,076,400","3,725.00","3,790.00","3,723.00",11:30,〇,-,-,"149,800"
1366.T,,1366,ＩＦ２２５ダブルベア,0,東Ｐ,貸借,▲,171,-5,-2.84%,"2,069,973",174,175,170,11:30,〇,1,-,"82,995"
5595.T,,5595,ＱＰＳ研究所,0,東Ｇ,貸借,▲,"1,927.00",170,9.68%,"2,035,200","1,779.00","1,930.00","1,772.00",11:30,〇,5,-,"12,200"
6178.T,,6178,日本郵政,0,東Ｐ,貸借,▼,"1,428.50",18.5,1.31%,"2,017,900","1,428.00","1,439.00","1,426.50",11:30,〇,-,-,"439,800"
2315.T,,2315,ＣＡＩＣＡＤＩＧＩＴＡＬ,0,東Ｓ,貸借,▲,97,5,5.43%,"2,017,400",93,98,93,11:30,〇,0.2,-,0
1570.T,,1570,ＮＦ日経レバ,0,東Ｐ,貸借,▲,"38,820.00","1,000.00",2.64%,"2,016,295","38,120.00","38,840.00","37,940.00",11:30,〇,-,5,"6,709"
4005.T,,4005,住友化学,0,東Ｐ,貸借,▲,456.5,5,1.11%,"2,014,500",455.9,459.9,454.6,11:30,〇,-,-,"620,100"
5721.T,,5721,エス・サイエンス,0,東Ｓ,信用,▼,151,-4,-2.58%,"2,013,100",154,156,151,11:30,✕,-,-,0
6701.T,,6701,日本電気,0,東Ｐ,貸借,▲,"4,758.00",122,2.63%,"2,002,600","4,600.00","4,759.00","4,596.00",11:30,〇,-,-,"164,300"
4506.T,,4506,住友ファーマ,0,東Ｐ,貸借,▼,"1,750.00",36,2.10%,"1,978,300","1,750.00","1,759.00","1,728.00",11:30,〇,-,-,"65,900"
2181.T,,2181,パーソルホールディングス,0,東Ｐ,貸借,▼,265,3.2,1.22%,"1,963,000",263.4,265.3,263.2,11:30,〇,-,-,"246,800"
8035.T,,8035,東京エレクトロン,0,東Ｐ,貸借,▼,"28,610.00",170,0.60%,"1,911,000","28,025.00","28,630.00","27,930.00",11:30,〇,-,-,"58,400"
7138.T,,7138,ＴＯＲＩＣＯ,0,東Ｇ,信用,▼,171,-3,-1.72%,"1,898,000",174,208,169,11:30,〇,0.2,-,"11,500"
