code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
1360.T,,1360,日経平均ベア２倍,0,東Ｐ,貸借,▲,166.6,-4.5,-2.63%,"43,258,840",169.8,170.5,166.4,11:30,〇,-,-,"1,671,420"
5721.T,,5721,エス・サイエンス,0,東Ｓ,信用,▼,151,-4,-2.58%,"2,013,100",154,156,151,11:30,✕,-,-,0
4588.T,,4588,オンコリスバイオファーマ,0,東Ｇ,信用,▼,763,-20,-2.55%,"1,022,000",771,786,751,11:30,〇,0.1,-,"82,000"
6558.T,,6558,クックビズ,0,東Ｇ,信用,▼,618,-16,-2.52%,"9,800",633,633,606,11:11,〇,0.3,-,100
8273.T,,8273,イズミ,0,東Ｐ,貸借,▼,"2,973.50",-76.5,-2.51%,"188,800","3,041.00","3,060.00","2,972.00",11:30,〇,-,-,"5,600"
3198.T,,3198,ＳＦＰホールディングス,0,東Ｐ,信用,▼,"2,052.00",-52,-2.47%,"58,100","2,081.00","2,101.00","2,041.00",11:30,〇,0.3,-,800
3622.T,,3622,ネットイヤーグループ,0,東Ｇ,信用,▲,522,-13,-2.43%,"11,100",530,531,512,11:30,〇,0.2,-,100
6098.T,,6098,リクルートホールディングス,0,東Ｐ,貸借,▼,"7,804.00",-192,-2.40%,"1,251,700","7,996.00","7,996.00","7,796.00",11:30,〇,-,-,"163,800"
2870.T,,2870,ＩＦナス１００Ｗベア,0,東Ｐ,貸借,▼,"11,305.00",-275,-2.37%,"9,301","11,380.00","11,405.00","11,305.00",11:29,〇,-,-,746
6173.T,,6173,アクアライン,0,東Ｇ,-,▼,290,-7,-2.36%,"14,600",297,297,286,10:29,〇,0.6,-,0
1368.T,,1368,ＩＦＴＰＸダブルベア,0,東Ｐ,貸借,▲,292,-7,-2.34%,"43,755",295,295,291,11:30,〇,-,-,"5,235"
4384.T,,4384,ラクスル,0,東Ｐ,貸借,▲,"1,070.00",-25,-2.28%,"280,400","1,095.00","1,098.00","1,069.00",11:30,〇,-,-,"8,700"
1689.T,,1689,ＷＴ天然ガス上場投,0,東Ｐ,貸借,▲,928,-21,-2.21%,"78,751",934,949,927,11:29,✕,-,-,0
4017.T,,4017,クリーマ,0,東Ｇ,信用,▼,269,-6,-2.18%,"9,000",275,275,268,11:16,〇,0.2,-,900
4421.T,,4421,ディ・アイ・システム,0,東Ｓ,信用,▼,964,-21,-2.13%,"15,500",976,995,964,11:19,〇,1,-,"2,100"
1469.T,,1469,ＪＰＸ日経４００ベア２倍,0,東Ｐ,貸借,▼,364.4,-7.9,-2.12%,"61,140",369.7,369.7,364.4,11:20,〇,0.3,-,710
2038.T,,2038,ＮＮ原油ダブル・ブル,0,東Ｐ,信用,▼,"1,381.00",-29,-2.06%,"481,751","1,388.00","1,389.00","1,377.00",11:30,〇,1,-,"10,803"
2179.T,,2179,成学社,0,東Ｓ,貸借,▼,781,-16,-2.01%,"1,200",795,795,781,11:05,〇,0.5,-,"4,500"
3281.T,,3281,ＧＬＰ投資法人,0,東証,貸借,▼,"136,500.00","-2,800.00",-2.01%,"7,850","138,100.00","138,800.00","136,100.00",11:30,〇,-,-,115
2646.T,,2646,ＧＸメタルビジ日株,0,東Ｐ,貸借,▼,"2,313.00",-47,-1.99%,"1,917","2,310.00","2,315.00","2,290.00",11:30,〇,-,-,85
7681.T,,7681,レオクラン,0,東Ｓ,信用,▼,"1,085.00",-22,-1.99%,200,"1,100.00","1,100.00","1,085.00",9:56,〇,0.6,-,100
6867.T,,6867,リーダー電子,0,東Ｓ,信用,▲,495,-10,-1.98%,"6,600",504,504,484,11:30,〇,0.4,-,200
1960.T,,1960,サンテック,0,東Ｓ,信用,▼,"1,001.00",-20,-1.96%,"4,400","1,026.00","1,026.00","1,001.00",11:28,〇,0.4,-,400
3477.T,,3477,フォーライフ,0,東Ｇ,信用,▲,800,-16,-1.96%,"3,000",805,810,795,10:56,〇,0.8,-,200
5341.T,,5341,ＡＳＡＨＩＥＩＴＯＨＬＤＧＳ,0,東Ｓ,貸借,▼,351,-7,-1.96%,"7,000",355,355,350,11:30,〇,-,-,400
2502.T,,2502,アサヒグループホールディン,0,東Ｐ,貸借,▼,"1,707.00",-33,-1.90%,"3,732,400","1,735.00","1,736.50","1,705.50",11:30,〇,-,-,"88,500"
7564.T,,7564,ワークマン,0,東Ｓ,貸借,▲,"5,690.00",-110,-1.90%,"93,900","5,780.00","5,810.00","5,660.00",11:30,〇,-,-,0
3661.T,,3661,エムアップホールディングス,0,東Ｐ,貸借,▼,"1,864.00",-36,-1.89%,"323,300","1,926.00","1,928.00","1,841.00",11:30,〇,-,-,"21,900"
6772.T,,6772,東京コスモス,0,東Ｓ,信用,▲,"8,350.00",-160,-1.88%,"4,100","8,360.00","8,360.00","8,100.00",11:27,〇,3.7,-,0
